"Recursos Compartidos";"Dirección IP";"Dirección MAC";"Tiempo de Respuesta";"Nombre de host";"Puertos TCP";"Consulta DNS";"Versión de servidor SQL";"Estado NTP";"Dirección localhost";"Time to live (TTL)";"Concatenación Simple";"SO";"Banner HTTP y FTP";"Versión BIOS";"Configuración IP y MAC";"Propietario Registrado";"Versión de Windows";"Nombre de host";"Grupo LAN";"Hora Remota";"Tiempo activo";"Cuentas de Usuario";"Estado TFTP";"Estado NBNS";"Título de Página HTML";"Estado MSSQL";"Certificado SSL";"Versión de Sistema";"Ejemplo DNS incorporado"
"";"192.168.72.141";"00-0C-29-3F-97-59";"0 ms";"";"domain, smtp";"Standard query: OK, Status request: OK";"Error: [192.168.72.141] Error de conexión al servidor remoto 192.168.72.141. Mensaje de error: El cliente WinRM no puede, procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a, un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts., Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la, lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más, información, consulte el tema de la Ayuda about_Remote_Troubleshooting., + CategoryInfo          : OpenError: (192.168.72.141:String) [], PSRemotingTransportException, + FullyQualifiedErrorId : ServerNotTrusted,PSSessionStateBroken";"12/11/2022 04:40:26 UTC";"192.168.72.1";"64";"00-0C-29-3F-97-59 192.168.72.141";"Unknown platform (0x0)";"";"";"El servidor remoto no existe o no está disponible: 'GetObject'";"";"";"";"";"";"";"";"";"";"Cannot connect to server on host '192.168.72.141':##No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión..##Socket Error Code: 10061($274D)";"";"";"";""
"";"192.168.72.129";"00-0C-29-1F-5D-F2";"15 ms";"";"";"";"Error: [192.168.72.129] Error de conexión al servidor remoto 192.168.72.129. Mensaje de error: El cliente WinRM no puede, procesar la solicitud. Si el esquema de autenticación es distinto de Kerberos o si el equipo cliente no está unido a, un dominio, se debe usar el transporte HTTPS o agregar el equipo de destino al valor de configuración TrustedHosts., Use winrm.cmd para configurar TrustedHosts. Tenga en cuenta que es posible que no se autentiquen los equipos de la, lista TrustedHosts. Para obtener más información, ejecute el siguiente comando: winrm help config. Para obtener más, información, consulte el tema de la Ayuda about_Remote_Troubleshooting., + CategoryInfo          : OpenError: (192.168.72.129:String) [], PSRemotingTransportException, + FullyQualifiedErrorId : ServerNotTrusted,PSSessionStateBroken";"";"192.168.72.1";"";"00-0C-29-1F-5D-F2 192.168.72.129";"Unknown platform (0x0)";"";"";"El servidor remoto no existe o no está disponible: 'GetObject'";"";"";"";"";"";"";"";"";"";"Cannot connect to server on host '192.168.72.129': Connection timed out";"";"";"";""
